STIPCategoryCode,SerieCode,IndicatorLabel,SDMXqueries,Location,STIPCategoryLabel,YEAR
PI013,VC_XGDP,"Venture capital, % of GDP",VC_INVEST/..VC_T.SH_GDP/all,LOCATION,Direct financial support|Equity financing,
PI013,VC_USD,"Venture capital, millions USD",VC_INVEST/..VC_T.USD_V/all,LOCATION,Direct financial support|Equity financing,
PI013,VCSEED_XGDP,"Venture capital, seed stage, % of GDP",VC_INVEST/..SEED.SH_GDP/all,LOCATION,Direct financial support|Equity financing,
PI013,VCSTART_XGDP,"Venture capital, start-up and other early stage, % of GDP",VC_INVEST/..START.SH_GDP/all,LOCATION,Direct financial support|Equity financing,
PI013,VCLATE_XGDP,"Venture capital, later stage, % of GDP",VC_INVEST/..LATER.SH_GDP/all,LOCATION,Direct financial support|Equity financing,
PI006,G_CC,"R&D total current costs in national currency, million ",GERD_TOE/._T.CUR.MIO_NAC/all,COUNTRY,Direct financial support|Institutional funding for public research,
PI006,G_CCPPP,"R&D total current costs in current USD PPP, million",GERD_TOE/._T.CUR.DC6/all,COUNTRY,Direct financial support|Institutional funding for public research,
PI006,G_CCPPPCT,"R&D total current costs in constant USD PPP, million",GERD_TOE/._T.CUR.DF6/all,COUNTRY,Direct financial support|Institutional funding for public research,
PI006,G_LC,"R&D labour costs for internal R&D personnel in national currency, million ",GERD_TOE/._T.CUR_LC.MIO_NAC/all,COUNTRY,Direct financial support|Institutional funding for public research,
PI006,G_LCPPP,"R&D labour costs for internal R&D personnel in current USD PPP, million",GERD_TOE/._T.CUR_LC.DC6/all,COUNTRY,Direct financial support|Institutional funding for public research,
PI006,G_LCPPPCT,"R&D labour costs for internal R&D personnel in constant USD PPP, million",GERD_TOE/._T.CUR_LC.DF6/all,COUNTRY,Direct financial support|Institutional funding for public research,
PI006,G_OC,"R&D other current costs in national currency, million ",GERD_TOE/._T.CUR_O.MIO_NAC/all,COUNTRY,Direct financial support|Institutional funding for public research,
PI006,G_OCPPP,"R&D other current costs in current USD PPP, million",GERD_TOE/._T.CUR_O.DC6/all,COUNTRY,Direct financial support|Institutional funding for public research,
PI006,G_OCPPPCT,"R&D other current costs in constant USD PPP, million",GERD_TOE/._T.CUR_O.DF6/all,COUNTRY,Direct financial support|Institutional funding for public research,
PI007,G_CC,"R&D total current costs in national currency, million ",GERD_TOE/._T.CUR.MIO_NAC/all,COUNTRY,Direct financial support|Project grants for public research,
PI007,G_CCPPP,"R&D total current costs in current USD PPP, million",GERD_TOE/._T.CUR.DC6/all,COUNTRY,Direct financial support|Project grants for public research,
PI007,G_CCPPPCT,"R&D total current costs in constant USD PPP, million",GERD_TOE/._T.CUR.DF6/all,COUNTRY,Direct financial support|Project grants for public research,
PI007,G_LC,"R&D labour costs for internal R&D personnel in national currency, million ",GERD_TOE/._T.CUR_LC.MIO_NAC/all,COUNTRY,Direct financial support|Project grants for public research,
PI007,G_LCPPP,"R&D labour costs for internal R&D personnel in current USD PPP, million",GERD_TOE/._T.CUR_LC.DC6/all,COUNTRY,Direct financial support|Project grants for public research,
PI007,G_LCPPPCT,"R&D labour costs for internal R&D personnel in constant USD PPP, million",GERD_TOE/._T.CUR_LC.DF6/all,COUNTRY,Direct financial support|Project grants for public research,
PI007,G_OC,"R&D other current costs in national currency, million ",GERD_TOE/._T.CUR_O.MIO_NAC/all,COUNTRY,Direct financial support|Project grants for public research,
PI007,G_OCPPP,"R&D other current costs in current USD PPP, million",GERD_TOE/._T.CUR_O.DC6/all,COUNTRY,Direct financial support|Project grants for public research,
PI007,G_OCPPPCT,"R&D other current costs in constant USD PPP, million",GERD_TOE/._T.CUR_O.DF6/all,COUNTRY,Direct financial support|Project grants for public research,
TG19,LF_NB,"Labour force, civilian, thousand",MSTI_PUB/ALF./all,COU,Economic actors (individuals)|Labour force in general,
TG19,TOTEMP,Total Employment (thousands),MSTI_PUB/TOTEMP./all,COU,Economic actors (individuals)|Labour force in general,
TG19,UNEMP_X1564,Unemployment rate as % of Labour Force,ALFS_SUMTAB/.YGTT06PC_ST.A/all,LOCATION,Economic actors (individuals)|Labour force in general,
TG19,PDYC_PPP,"Labour productivity, GDP per hour worked, USD PPPs",PDB_LV/.T_GDPHRS.CPC/all,LOCATION,Economic actors (individuals)|Labour force in general,
TG19,PDYC_PPPK,"Labour productivity, GDP per hour worked, constant USD PPPs",PDB_LV/.T_GDPHRS.VPVOB/all,LOCATION,Economic actors (individuals)|Labour force in general,
TG19,PDYC_GRO,"Labour productivity, annual growth rate at constant prices, %",PDB_GR/.T_GDPHRS_V.GRW/all,LOCATION,Economic actors (individuals)|Labour force in general,
TG19,ADTERPOP_XT,"Adult population with tertiary education level, % 25-65 years old",EAG_NEAC/.L5T8.T.Y25T64.T.VALUE.NEAC_SHARE_EA/all,COUNTRY,Economic actors (individuals)|Labour force in general,
TG19,ADUPSECPOP_XT,"Adult population with upper secondary or post secondary not tertiary level education level, % 25-65 years old",EAG_NEAC/.L3T4.T.Y25T64.T.VALUE.NEAC_SHARE_EA/all,COUNTRY,Economic actors (individuals)|Labour force in general,
TG19,ADBELOSECPOP_XT,"Adult population with below secondary  level, % 25-65 years old",EAG_NEAC/.L0T2.T.Y25T64.T.VALUE.NEAC_SHARE_EA/all,COUNTRY,Economic actors (individuals)|Labour force in general,
TG17,VC_XGDP,"Venture capital, % of GDP",VC_INVEST/..VC_T.SH_GDP/all,LOCATION,Economic actors (individuals)|Private investors,
TG17,VC_USD,"Venture capital, millions USD",VC_INVEST/..VC_T.USD_V/all,LOCATION,Economic actors (individuals)|Private investors,
TG25,B_XGDP,BERD as a percentage of GDP,MSTI_PUB/B_XGDP./all,COU,Firms by age|Firms of any age,
TG25,G_XEB,BERD as a percentage of total GERD,MSTI_PUB/G_XEB./all,COU,Firms by age|Firms of any age,
TG25,B_PPP,"Business Enterprise Expenditure on R&D (BERD) in current USD PPP, million",MSTI_PUB/B_PPP./all,COU,Firms by age|Firms of any age,
TG25,B_NC,"BERD in national currency, million",MSTI_PUB/B_NC./all,COU,Firms by age|Firms of any age,
TG25,B_PPPCT,"BERD in constant USD PPP, million",MSTI_PUB/B_PPPCT./all,COU,Firms by age|Firms of any age,
TG25,B_GRO,"BERD, compound annual real growth rate",MSTI_PUB/B_GRO./all,COU,Firms by age|Firms of any age,
TG25,B_XVA,BERD as a percentage of value added in industry,MSTI_PUB/B_XVA./all,COU,Firms by age|Firms of any age,
TG25,G_FBXGDP,GERD financed by the business enterprise sector as a percentage of GDP,MSTI_PUB/G_FBXGDP./all,COU,Firms by age|Firms of any age,
TG25,G_FBPPP,"GERD financed by the business enterprise sector in current USD PPP, million",GERD_SOF/._T.BES.DC6/all,COUNTRY,Firms by age|Firms of any age,
TG25,G_FBCT,"GERD financed by the business enterprise sector in constant USD PPP, million",GERD_SOF/._T.BES.DF6/all,COUNTRY,Firms by age|Firms of any age,
TG25,G_FB,"GERD financed by the business enterprise sector in national currency, million ",GERD_SOF/._T.BES.MIO_NAC/all,COUNTRY,Firms by age|Firms of any age,
TG25,HIGWTH_XB10,"High growth enterprises (turnover definition), % of enterprises with 10+ employees",SDBS_BDI_ISIC4/.HGT_R.05_82.10PLUS/all,LOCATION,Firms by age|Firms of any age,
TG25,HIGWTHE_XB10,"High growth enterprises (employment definition), % of enterprises with 10+ employees",SDBS_BDI_ISIC4/.HGE_R.05_82.10PLUS/all,LOCATION,Firms by age|Firms of any age,
TG26,EMPENTBR_NB,"Employer enterprise births, number ",SDBS_BDI_ISIC4/.B_EMPL.05_82.TOTAL/all,LOCATION,Firms by age|Nascent firms (0 to less than 1 year old),
TG26,EMPENTRBR_XB1,"Employer enterprise birth rate, total economy, % of active enterprises with at least one employee",SDBS_BDI_ISIC4/.B_R_EMPL.05_82.TOTAL/all,LOCATION,Firms by age|Nascent firms (0 to less than 1 year old),
TG26,EMPENTDT_NB,"Employer enterprise deaths, number",SDBS_BDI_ISIC4/.D_EMPL.05_82.TOTAL/all,LOCATION,Firms by age|Nascent firms (0 to less than 1 year old),
TG26,EMPENTDTRT_XB1,"Employer enterprise death rate, % of % of active enterprises with at least one employee",SDBS_BDI_ISIC4/.D_R_EMPL.05_82.TOTAL/all,LOCATION,Firms by age|Nascent firms (0 to less than 1 year old),
TG26,SUR1_XB,1-year survival rate of employer enterprises,SDBS_BDI_ISIC4/.YS1_R_EMPL.05_82.TOTAL/all,LOCATION,Firms by age|Nascent firms (0 to less than 1 year old),
TG26,STAUP_XB,Share of start-ups (up to 2 years old),SDBS_BDI_ISIC4/.START_R_EBD.05_82_LESS_642.TOTAL/all,LOCATION,Firms by age|Nascent firms (0 to less than 1 year old),
TG26,SH1EMP_XBEMP,Employment share of one-year-old employer enterprises,SDBS_BDI_ISIC4/.YS1_EMPN_P_EMPL.05_82.TOTAL/all,LOCATION,Firms by age|Nascent firms (0 to less than 1 year old),
TG26,VCSEED_XGDP,"Venture capital, seed stage, % of GDP",VC_INVEST/..SEED.SH_GDP/all,LOCATION,Firms by age|Nascent firms (0 to less than 1 year old),
TG27,GZLT_XB10,"Gazelles (turnover definition), % of enterprises with 10+ employees",SDBS_BDI_ISIC4/.GZT_SH.05_82.10PLUS/all,LOCATION,Firms by age|Young firms (1 to 5 years old),
TG27,GZLE_XB10,"Gazelles (employment definition), % of enterprises with 10+ employees",SDBS_BDI_ISIC4/.GZE_SH.05_82.10PLUS/all,LOCATION,Firms by age|Young firms (1 to 5 years old),
TG27,SH1_XB,Share of 1-year-old employer enterprises in the business population,SDBS_BDI_ISIC4/.YS1_P_EMPL.05_82.TOTAL/all,LOCATION,Firms by age|Young firms (1 to 5 years old),
TG27,SH2_XB,Share of 2-year-old employer enterprises in the business population,SDBS_BDI_ISIC4/.YS2_P_EMPL.05_82.TOTAL/all,LOCATION,Firms by age|Young firms (1 to 5 years old),
TG27,SH3_XB,Share of 3-year-old employer enterprises in the business population,SDBS_BDI_ISIC4/.YS3_P_EMPL.05_82.TOTAL/all,LOCATION,Firms by age|Young firms (1 to 5 years old),
TG27,SH4_XB,Share of 4-year-old employer enterprises in the business population,SDBS_BDI_ISIC4/.YS4_P_EMPL.05_82.TOTAL/all,LOCATION,Firms by age|Young firms (1 to 5 years old),
TG27,SH5_XB,Share of 5-year-old employer enterprises in the business population,SDBS_BDI_ISIC4/.YS5_P_EMPL.05_82.TOTAL/all,LOCATION,Firms by age|Young firms (1 to 5 years old),
TG27,SUR1_XB,1-year survival rate of employer enterprises,SDBS_BDI_ISIC4/.YS1_R_EMPL.05_82.TOTAL/all,LOCATION,Firms by age|Young firms (1 to 5 years old),
TG27,SUR2_XB,2-year survival rate of employer enterprises,SDBS_BDI_ISIC4/.YS2_R_EMPL.05_82.TOTAL/all,LOCATION,Firms by age|Young firms (1 to 5 years old),
TG27,SUR3_XB,3-year survival rate of employer enterprises,SDBS_BDI_ISIC4/.YS3_R_EMPL.05_82.TOTAL/all,LOCATION,Firms by age|Young firms (1 to 5 years old),
TG27,SUR4_XB,4-year survival rate of employer enterprises,SDBS_BDI_ISIC4/.YS4_R_EMPL.05_82.TOTAL/all,LOCATION,Firms by age|Young firms (1 to 5 years old),
TG27,SUR5_XB,5-year survival rate of employer enterprises,SDBS_BDI_ISIC4/.YS5_R_EMPL.05_82.TOTAL/all,LOCATION,Firms by age|Young firms (1 to 5 years old),
TG27,VC_XGDP,"Venture capital, % of GDP",VC_INVEST/..VC_T.SH_GDP/all,LOCATION,Firms by age|Young firms (1 to 5 years old),
TG27,VC_USD,"Venture capital, millions USD",VC_INVEST/..VC_T.USD_V/all,LOCATION,Firms by age|Young firms (1 to 5 years old),
TG27,VCSEED_XGDP,"Venture capital, seed stage, % of GDP",VC_INVEST/..SEED.SH_GDP/all,LOCATION,Firms by age|Young firms (1 to 5 years old),
TG27,VCSTART_XGDP,"Venture capital, start-up and other early stage, % of GDP",VC_INVEST/..START.SH_GDP/all,LOCATION,Firms by age|Young firms (1 to 5 years old),
TG27,VCLATE_XGDP,"Venture capital, later stage, % of GDP",VC_INVEST/..LATER.SH_GDP/all,LOCATION,Firms by age|Young firms (1 to 5 years old),
TG29,B_XGDP,BERD as a percentage of GDP,MSTI_PUB/B_XGDP./all,COU,Firms by size|Firms of any size,
TG29,B_PPP,"Business Enterprise Expenditure on R&D (BERD) in current USD PPP, million",MSTI_PUB/B_PPP./all,COU,Firms by size|Firms of any size,
TG29,B_NC,"BERD in national currency, million",MSTI_PUB/B_NC./all,COU,Firms by size|Firms of any size,
TG29,B_PPPCT,"BERD in constant USD PPP, million",MSTI_PUB/B_PPPCT./all,COU,Firms by size|Firms of any size,
TG29,B_GRO,"BERD, compound annual real growth rate",MSTI_PUB/B_GRO./all,COU,Firms by size|Firms of any size,
TG29,B_XVA,BERD as a percentage of value added in industry,MSTI_PUB/B_XVA./all,COU,Firms by size|Firms of any size,
TG29,G_XEB,BERD as a percentage of total GERD,MSTI_PUB/G_XEB./all,COU,Firms by size|Firms of any size,
TG29,G_FBXGDP,GERD financed by the business enterprise sector as a percentage of GDP,MSTI_PUB/G_FBXGDP./all,COU,Firms by size|Firms of any size,
TG29,G_FBPPP,"GERD financed by the business enterprise sector in current USD PPP, million",GERD_SOF/._T.BES.DC6/all,COUNTRY,Firms by size|Firms of any size,
TG29,G_FBCT,"GERD financed by the business enterprise sector in constant USD PPP, million",GERD_SOF/._T.BES.DF6/all,COUNTRY,Firms by size|Firms of any size,
TG29,G_FB,"GERD financed by the business enterprise sector in national currency, million ",GERD_SOF/._T.BES.MIO_NAC/all,COUNTRY,Firms by size|Firms of any size,
TG29,HIGWTH_XB10,"High growth enterprises (turnover definition), % of enterprises with 10+ employees",SDBS_BDI_ISIC4/.HGT_R.05_82.10PLUS/all,LOCATION,Firms by size|Firms of any size,
TG29,HIGWTHE_XB10,"High growth enterprises (employment definition), % of enterprises with 10+ employees",SDBS_BDI_ISIC4/.HGE_R.05_82.10PLUS/all,LOCATION,Firms by size|Firms of any size,
TG32,ITSR_LGEP_I,"Implied tax subsidy rates on RD expenditures, large firms, profitable scenario",RDSUB/.LARGE.LOSS-MAKING/all,COU,Firms by size|Large firms,
TG32,ITSR_LGELM_I,"Implied tax subsidy rates on RD expenditures, large firms, loss-making scenario",RDSUB/.LARGE.PROFITABLE/all,COU,Firms by size|Large firms,
TG31,ITSR_SMEP_I,"Implied tax subsidy rates on RD expenditures, SME, profitable scenario",RDSUB/.SME.LOSS-MAKING/all,COU,Firms by size|SMEs,
TG31,ITSR_SMELM_I,"Implied tax subsidy rates on RD expenditures, SME, loss-making scenario",RDSUB/.SME.PROFITABLE/all,COU,Firms by size|SMEs,
TH63,G_FAPPP,"GERD financed by the rest of the world in current USD PPP, million",GERD_SOF/._T.ROW.DC6/all,COUNTRY,Governance|International STI governance policy,
TH63,G_FACT,"GERD financed by the rest of the world in constant USD PPP, million",GERD_SOF/._T.ROW.DF6/all,COUNTRY,Governance|International STI governance policy,
TH63,G_FA,"GERD financed by the rest of the world in national currency, million ",GERD_SOF/._T.ROW.MIO_NAC/all,COUNTRY,Governance|International STI governance policy,
TH63,G_XFA,GERD financed by the rest of the world as a percentage of total GERD,MSTI_PUB/G_XFA./all,COU,Governance|International STI governance policy,
TH63,COPAT_NB,"International co-invention, number of PCT patent applications",PATS_COOP/PCT_A.CO_INV..TOTAL.PRIORITY/all,Country,Governance|International STI governance policy,TIME
TH63,COPAT_XPCT,"International co-invention, % of total PCT patent applications",PATS_COOP/PCT_A.CO_INV_S..WRD.PRIORITY/all,Country,Governance|International STI governance policy,TIME
TH13,G_XGDP,GERD as a percentage of GDP,MSTI_PUB/G_XGDP./all,COU,Governance|STI plan or strategy,
TH13,G_PPP,"GERD in current USD PPP, million",MSTI_PUB/G_PPP./all,COU,Governance|STI plan or strategy,
TH13,G_PPPCT,"GERD in constant USD PPP, million",MSTI_PUB/G_PPPCT./all,COU,Governance|STI plan or strategy,
TH13,G_NC,"GERD in national currency, million",MSTI_PUB/G_NC./all,COU,Governance|STI plan or strategy,
TH13,G_GRO,"GERD, compound annual real growth rate",MSTI_PUB/G_GRO./all,COU,Governance|STI plan or strategy,
TH13,G_FGXGDP,GERD financed by government as a percentage of GDP,MSTI_PUB/G_FGXGDP./all,COU,Governance|STI plan or strategy,
TH13,G_XFG,GERD financed by government as a percentage of total GERD,MSTI_PUB/G_XFG./all,COU,Governance|STI plan or strategy,
TH13,G_FGXGDP,GERD financed by government as a percentage of GDP,MSTI_PUB/G_FGXGDP./all,COU,Governance|STI plan or strategy,
TH13,GV_XGDP,GOVERD as a percentage of GDP,MSTI_PUB/GV_XGDP./all,COU,Governance|STI plan or strategy,
TH13,GV_PPP,"GOVERD in current USD PPP, million",MSTI_PUB/GV_PPP./all,COU,Governance|STI plan or strategy,
TH13,GV_PPPCT,"GOVERD in constant USD PPP, million",MSTI_PUB/GV_PPPCT./all,COU,Governance|STI plan or strategy,
TH13,GV_NC,"GOVERD in national currency, million ",MSTI_PUB/GV_NC./all,COU,Governance|STI plan or strategy,
TH13,G_XEG,GOVERD as a percentage of total GERD,MSTI_PUB/G_XEG./all,COU,Governance|STI plan or strategy,
TH13,C_PPP,"Total GBARD in current USD PPP, million",MSTI_PUB/C_PPP./all,COU,Governance|STI plan or strategy,
TH13,C_PPPCT,"Total GBARD in constant USD PPP, million",MSTI_PUB/C_PPPCT./all,COU,Governance|STI plan or strategy,
TH13,C_NC,"Total GBARD in national currency, million",MSTI_PUB/C_NC./all,COU,Governance|STI plan or strategy,
PI024,G_XGDP,GERD as a percentage of GDP,MSTI_PUB/G_XGDP./all,COU,"Governance|Strategies, agendas and plans",
PI024,G_PPP,"GERD in current USD PPP, million",MSTI_PUB/G_PPP./all,COU,"Governance|Strategies, agendas and plans",
PI024,G_PPPCT,"GERD in constant USD PPP, million",MSTI_PUB/G_PPPCT./all,COU,"Governance|Strategies, agendas and plans",
PI024,G_NC,"GERD in national currency, million",MSTI_PUB/G_NC./all,COU,"Governance|Strategies, agendas and plans",
PI024,G_GRO,"GERD, compound annual real growth rate",MSTI_PUB/G_GRO./all,COU,"Governance|Strategies, agendas and plans",
PI024,G_FBXGDP,GERD financed by the business enterprise sector as a percentage of GDP,MSTI_PUB/G_FBXGDP./all,COU,"Governance|Strategies, agendas and plans",
PI024,G_FBPPP,"GERD financed by the business enterprise sector in current USD PPP, million",GERD_SOF/._T.BES.DC6/all,COUNTRY,"Governance|Strategies, agendas and plans",
PI024,G_FBCT,"GERD financed by the business enterprise sector in constant USD PPP, million",GERD_SOF/._T.BES.DF6/all,COUNTRY,"Governance|Strategies, agendas and plans",
PI024,G_FB,"GERD financed by the business enterprise sector in national currency, million ",GERD_SOF/._T.BES.MIO_NAC/all,COUNTRY,"Governance|Strategies, agendas and plans",
PI024,G_FGXGDP,GERD financed by government as a percentage of GDP,MSTI_PUB/G_FGXGDP./all,COU,"Governance|Strategies, agendas and plans",
PI024,G_FGPPP,"GERD financed by government in current USD PPP, million",GERD_SOF/._T.GOV.DC6/all,COUNTRY,"Governance|Strategies, agendas and plans",
PI024,G_FGCT,"GERD financed by government in constant USD PPP, million",GERD_SOF/._T.GOV.DF6/all,COUNTRY,"Governance|Strategies, agendas and plans",
PI024,G_FG,"GERD financed by government in national currency, million ",GERD_SOF/._T.GOV.MIO_NAC/all,COUNTRY,"Governance|Strategies, agendas and plans",
PI024,G_FONPPP,"GERD financed by the Higher Education and PNP in current USD PPP, million",GERD_SOF/._T.GOV.DC6/all,COUNTRY,"Governance|Strategies, agendas and plans",
PI024,G_FON,"GERD financed by the Higher Education and PNP in national currency, million ",GERD_SOF/._T.GOV.MIO_NAC/all,COUNTRY,"Governance|Strategies, agendas and plans",
PI024,G_FONCT,"GERD financed by the Higher Education and PNP in constant USD PPP, million",GERD_SOF/._T.GOV.DF6/all,COUNTRY,"Governance|Strategies, agendas and plans",
PI024,G_FAPPP,"GERD financed by the rest of the world in current USD PPP, million",GERD_SOF/._T.ROW.DC6/all,COUNTRY,"Governance|Strategies, agendas and plans",
PI024,G_FA,"GERD financed by the rest of the world in national currency, million ",GERD_SOF/._T.ROW.MIO_NAC/all,COUNTRY,"Governance|Strategies, agendas and plans",
PI024,G_FACT,"GERD financed by the rest of the world in constant USD PPP, million",GERD_SOF/._T.ROW.DF6/all,COUNTRY,"Governance|Strategies, agendas and plans",
PI024,G_XFA,GERD financed by the rest of the world as a percentage of total GERD,MSTI_PUB/G_XFA./all,COU,"Governance|Strategies, agendas and plans",
PI024,C_GUF,"R&D financed from General University Funds (GUF) in national currency, million",GBARD_NABS2007/.NABS12.MIO_NAC/all,COUNTRY,"Governance|Strategies, agendas and plans",
PI024,C_GUFPPP,"R&D financed from General University Funds (GUF) in current USD PPP, million",GBARD_NABS2007/.NABS12.DC6/all,COUNTRY,"Governance|Strategies, agendas and plans",
PI024,C_GUFPPPCT,"R&D financed from General University Funds (GUF) in constant USD PPP, million",GBARD_NABS2007/.NABS12.DF6/all,COUNTRY,"Governance|Strategies, agendas and plans",
PI024,C_GUFXTOT,R&D financed from General University Funds (GUF) as a percentage of total GBARD,MSTI_PUB/C_GUFXCV./all,COU,"Governance|Strategies, agendas and plans",
PI018,FORUNI_XTENR,"International/foreign students at tertiary level (ISCED2011 levels 5 to 8), % total enrolment at tertiary-level",EAG_ENRL_MOBILES_FIELDS/.ENRL_SHARE_MOBILE-FIELDS._T.ISCED11_5T8.MOB._T/all,COUNTRY,"Guidance, regulation and incentives|Labour mobility regulation and incentives",
PI018,FORSPHD_XPHDENR,"International students at doctoral level (ISCED2011 level 8), % total enrolment at doctorate level",EAG_ENRL_MOBILES_FIELDS/.ENRL_SHARE_MOBILE-FIELDS._T.ISCED11_8.MOB._T/all,COUNTRY,"Guidance, regulation and incentives|Labour mobility regulation and incentives",
TH52,PHDENR_NB,Number of students enrolled in doctoral or equivalent level,EDU_ENRL_AGE/._T._T._T.ISCED11_8/all,COUNTRY,Human resources for research and innovation|Doctoral and postdoctoral researchers,
TH52,PHDGRAD_NB,Number of students first time graduate in doctoral or equivalent level,EDU_GRAD_AGE/._T._T.ISCED11_8.FGRAD_LEV._T/all,COUNTRY,Human resources for research and innovation|Doctoral and postdoctoral researchers,
TH52,ADPHDPOP_XT,"Adult population with a doctorate, % 25-65 years old",EAG_NEAC/.L8.T.Y25T64.T.VALUE.NEAC_SHARE_EA/all,COUNTRY,Human resources for research and innovation|Doctoral and postdoctoral researchers,
TH54,TH_WRS,Women researchers in headcount,MSTI_PUB/TH_WRS./all,COU,Human resources for research and innovation|Gender balance and inclusiveness,
TH54,TH_WRXRS,Percentage of women among researchers (based on headcount),MSTI_PUB/TH_WRXRS./all,COU,Human resources for research and innovation|Gender balance and inclusiveness,
TH54,WEMP_NSE_XT,"Employment rate of women, 25-64 years, with a tertiary education in natural sicences mathematics and statistics",EAG_NEAC/.L5T8.F.Y25T64.F05.VALUE.NEAC_RATE_EMPLOYMENT/all,COUNTRY,Human resources for research and innovation|Gender balance and inclusiveness,
TH54,WEMP_ICT_XT,"Employment rate of women, 25-64 years, tertiary education, ICT",EAG_NEAC/.L5T8.F.Y25T64.F06.VALUE.NEAC_RATE_EMPLOYMENT/all,COUNTRY,Human resources for research and innovation|Gender balance and inclusiveness,
TH54,WEMP_ENG_XT,"Employment rate of women, 25-64 years, tertiary education, engineering, manufacturing and construction",EAG_NEAC/.L5T8.F.Y25T64.F07.VALUE.NEAC_RATE_EMPLOYMENT/all,COUNTRY,Human resources for research and innovation|Gender balance and inclusiveness,
TH54,WTER_XT,"Women new entrants to tertiary education, % total new entrants in tertiary education",EAG_GRAD_ENTR_FIELD/.ENTR_SHARE_GENDER-FIELDS.ISCED11_5T8.F._T._T/all,COUNTRY,Human resources for research and innovation|Gender balance and inclusiveness,
