STIPCategoryCode,SerieCode,IndicatorLabel,SDMXqueries,Location,STIPCategoryLabel,YEAR
TH54,WTER_GRAD_XT,"Women graduates to tertiary education, % total graduates in tertiary education",EAG_GRAD_ENTR_FIELD/.GRAD_SHARE_GENDER-FIELDS.ISCED11_5T8.F._T._T/all,COUNTRY,Human resources for research and innovation|Gender balance and inclusiveness,
TH54,WPHDENR_XT,"New entrants to doctorate that are women, % total new entrants in doctorate level",EAG_GRAD_ENTR_SHARE/.ENTR_SHARE_GENDER.ISCED11_8.INST_T.NENT_LEV.F._T._T/all,COUNTRY,Human resources for research and innovation|Gender balance and inclusiveness,
TH54,WPHDGRAD_XT,"Women graduates to doctorate level, % total graduates in doctorate level",EAG_GRAD_ENTR_SHARE/.GRAD_SHARE_GENDER.ISCED11_8.INST_T.FGRAD_LEV.F._T._T/all,COUNTRY,Human resources for research and innovation|Gender balance and inclusiveness,
TH54,WTERENR_NSE_XNSE,"Women new entrants to tertiary education in natural sciences, mathematics and statistics, % total new entrants in natural sciences, mathematics and statistics",EAG_GRAD_ENTR_FIELD/.ENTR_SHARE_GENDER-FIELDS.ISCED11_5T8.F._T.F05/all,COUNTRY,Human resources for research and innovation|Gender balance and inclusiveness,
TH54,WTERENR_ICT_XICT,"Women new entrants to tertiary education in ICT, % total new entrants in ICT",EAG_GRAD_ENTR_FIELD/.ENTR_SHARE_GENDER-FIELDS.ISCED11_5T8.F._T.F06/all,COUNTRY,Human resources for research and innovation|Gender balance and inclusiveness,
TH54,WTERENR_ENG_XENG,"Women new entrants to tertiary education in engineering manufacturing and construction, % total new entrants in engineering manufacturing and construction",EAG_GRAD_ENTR_FIELD/.ENTR_SHARE_GENDER-FIELDS.ISCED11_5T8.F._T.F07/all,COUNTRY,Human resources for research and innovation|Gender balance and inclusiveness,
TH54,WTERGRAD_NSE_XT,"Women graduates to tertiary education in natural sciences, mathematics and statistics, % total graduates  in natural sciences, mathematics and statistics",EAG_GRAD_ENTR_FIELD/.GRAD_SHARE_GENDER-FIELDS.ISCED11_5T8.F._T.F05/all,COUNTRY,Human resources for research and innovation|Gender balance and inclusiveness,
TH54,WTERGRAD_ICT_XT,"Women graduates to tertiary education in information and communication technologies, % total graduates in information and communication technologies",EAG_GRAD_ENTR_FIELD/.GRAD_SHARE_GENDER-FIELDS.ISCED11_5T8.F._T.F06/all,COUNTRY,Human resources for research and innovation|Gender balance and inclusiveness,
TH54,WTERGRAD_ENG_XT,"Women graduates to tertiary education in engineering, manufacturing and construction, % total graduates in engineering, manufacturing and construction",EAG_GRAD_ENTR_FIELD/.GRAD_SHARE_GENDER-FIELDS.ISCED11_5T8.F._T.F07/all,COUNTRY,Human resources for research and innovation|Gender balance and inclusiveness,
TH54,WPHDENR_NSE_XNSE,"Women PHDs new entrants in natural sciences, mathematics and statistics, % total new entrants in doctorates in natural sciences, mathematics and statistics",EAG_GRAD_ENTR_FIELD/.ENTR_SHARE_GENDER-FIELDS.ISCED11_8.F._T.F05/all,COUNTRY,Human resources for research and innovation|Gender balance and inclusiveness,
TH54,WPHDENR_ICT_XICT,"Women new entrants to doctorate in information and communication technologies, % total new entrants in doctorate information and communication technologies",EAG_GRAD_ENTR_FIELD/.ENTR_SHARE_GENDER-FIELDS.ISCED11_8.F._T.F06/all,COUNTRY,Human resources for research and innovation|Gender balance and inclusiveness,
TH54,WPHDENR_ENG_XENG,"Women new entrants to doctorate in engineering, manufacturing and construction, % total new entrants in engineering, manufacturing and construction",EAG_GRAD_ENTR_FIELD/.ENTR_SHARE_GENDER-FIELDS.ISCED11_8.F._T.F07/all,COUNTRY,Human resources for research and innovation|Gender balance and inclusiveness,
TH54,WPHDGRAD_NSE_XT,"Women graduates to doctorate in natural sciences, mathematics and statistics, % total graduates  in natural sciences, mathematics and statistics",EAG_GRAD_ENTR_FIELD/.GRAD_SHARE_GENDER-FIELDS.ISCED11_8.F._T.F05/all,COUNTRY,Human resources for research and innovation|Gender balance and inclusiveness,
TH54,WPHDGRAD_ICT_XT,"Women graduates to doctorate in information and communication technologies, % total graduates in information and communication technologies",EAG_GRAD_ENTR_FIELD/.GRAD_SHARE_GENDER-FIELDS.ISCED11_8.F._T.F06/all,COUNTRY,Human resources for research and innovation|Gender balance and inclusiveness,
TH54,WPHDGRAD_ENG_XT,"Women graduates to doctorate in engineering, manufacturing and construction, % total graduates in engineering, manufacturing and construction",EAG_GRAD_ENTR_FIELD/.GRAD_SHARE_GENDER-FIELDS.ISCED11_8.F._T.F07/all,COUNTRY,Human resources for research and innovation|Gender balance and inclusiveness,
TH54,WEMPLYER,Share of employed who are employers women %,GENDER_ENT1/.ENT1.WOMEN.TOTAL/all,LOCATION,Human resources for research and innovation|Gender balance and inclusiveness,
TH54,GENDERGAP,Gender gap in self employed earning,GENDER_ENT1/.ENT7.ALL.TOTAL/all,LOCATION,Human resources for research and innovation|Gender balance and inclusiveness,
TH54,OWNACC,Share of employed who are own-account workers,GENDER_ENT1/.ENT2.WOMEN.TOTAL/all,LOCATION,Human resources for research and innovation|Gender balance and inclusiveness,
TH54,WINV,Share of women inventors in the total number of inventors,GENDER_ENT1/.ENT4.WOMEN.TOTAL/all,LOCATION,Human resources for research and innovation|Gender balance and inclusiveness,
TH54,WSLFEMPTER,Share of self-employed in the population of employed with tertiary education,GENDER_ENT1/.SELF_TERTIARY_EDU.WOMEN.TOTAL/all,LOCATION,Human resources for research and innovation|Gender balance and inclusiveness,
TH53,ADPHDPOP_XT,"Adult population with a doctorate, % 25-65 years old",EAG_NEAC/.L8.T.Y25T64.T.VALUE.NEAC_SHARE_EA/all,COUNTRY,Human resources for research and innovation|Research careers,
TH51,TERENR_NSE_XTER,"New entrants to tertiary education in natural sciences, mathematics and statistics, % total new entrants in tertiary in all fields",EAG_GRAD_ENTR_FIELD/.ENTR_SHARE_FIELDS.ISCED11_5T8._T._T.F05/all,COUNTRY,Human resources for research and innovation|STEM skills,
TH51,TERENR_ICT_XTER,"New entrants to tertiary education in ICT, % total new entrants in tertiary in all fields",EAG_GRAD_ENTR_FIELD/.ENTR_SHARE_FIELDS.ISCED11_5T8._T._T.F06/all,COUNTRY,Human resources for research and innovation|STEM skills,
TH51,TERENR_ENG_XTER,"New entrants to tertiary education in engineering manufacturing and construction, % total new entrants in tertiary in all fields",EAG_GRAD_ENTR_FIELD/.ENTR_SHARE_FIELDS.ISCED11_5T8._T._T.F07/all,COUNTRY,Human resources for research and innovation|STEM skills,
TH51,TERGRAD_NSE_XT,"Graduates to tertiary education in natural sciences, mathematics and statistics, % total tertiary graduates in all fields",EAG_GRAD_ENTR_FIELD/.GRAD_SHARE_FIELDS.ISCED11_5T8._T._T.F05/all,COUNTRY,Human resources for research and innovation|STEM skills,
TH51,TERGRAD_ICT_XT,"Graduates to tertiary education in information and communication technologies, % total tertiary graduates in all fields",EAG_GRAD_ENTR_FIELD/.GRAD_SHARE_FIELDS.ISCED11_5T8._T._T.F06/all,COUNTRY,Human resources for research and innovation|STEM skills,
TH51,TERGRAD_ENG_XT,"Graduates to tertiary education in engineering, manufacturing and construction, % total tertiary graduates in all fields",EAG_GRAD_ENTR_FIELD/.GRAD_SHARE_FIELDS.ISCED11_5T8._T._T.F07/all,COUNTRY,Human resources for research and innovation|STEM skills,
TH51,PHDENR_NSE_XT,"PHDs new entrants in natural sciences, mathematics and statistics, % total new entrants in all fields",EAG_GRAD_ENTR_FIELD/.ENTR_SHARE_FIELDS.ISCED11_8._T._T.F05/all,COUNTRY,Human resources for research and innovation|STEM skills,
TH51,PHDENR_ICT_XT,"PHDs new entrants in information and communication technologies, % total new entrants in all fields",EAG_GRAD_ENTR_FIELD/.ENTR_SHARE_FIELDS.ISCED11_8._T._T.F06/all,COUNTRY,Human resources for research and innovation|STEM skills,
TH51,PHDENR_ENG_XT,"PHDs new entrants in engineering, manufacturing and construction, % total new entrants in all fields",EAG_GRAD_ENTR_FIELD/.ENTR_SHARE_FIELDS.ISCED11_8._T._T.F07/all,COUNTRY,Human resources for research and innovation|STEM skills,
TH51,PHDGRAD_SCI_XT,"PHDs graduates in natural sciences, mathematics and statistics, % total PHDs graduates in all fields",EAG_GRAD_ENTR_FIELD/.GRAD_SHARE_FIELDS.ISCED11_8._T._T.F05/all,COUNTRY,Human resources for research and innovation|STEM skills,
TH51,PHDGRAD_ICT_XT,"PHDs graduates in information and communication technologies, % total PHDs graduates in all fields",EAG_GRAD_ENTR_FIELD/.GRAD_SHARE_FIELDS.ISCED11_8._T._T.F06/all,COUNTRY,Human resources for research and innovation|STEM skills,
TH51,PHDGRAD_ENG_XT,"PHDs graduates in engineering, manufacturing and construction, % total PHDs graduates in all fields",EAG_GRAD_ENTR_FIELD/.GRAD_SHARE_FIELDS.ISCED11_8._T._T.F07/all,COUNTRY,Human resources for research and innovation|STEM skills,
TH50,TP_RS,Total researchers in FTE,MSTI_PUB/TP_RS./all,COU,Human resources for research and innovation|STI human resources strategies,
TH50,TP_RSXEM,Total researchers (in FTE) per thousand total employment,MSTI_PUB/TP_RSXEM./all,COU,Human resources for research and innovation|STI human resources strategies,
TH50,TP_TT,Total R&D personnel (FTE),MSTI_PUB/TP_TT./all,COU,Human resources for research and innovation|STI human resources strategies,
TH50,TP_TTXEM,Total R&D personnel (FTE) per thousand total employment,MSTI_PUB/TP_TTXEM./all,COU,Human resources for research and innovation|STI human resources strategies,
TH50,BP_RS,Business Enterprise researchers in FTE,MSTI_PUB/BP_RS./all,COU,Human resources for research and innovation|STI human resources strategies,
TH50,GP_RS,Government researchers in FTE,MSTI_PUB/GP_RS./all,COU,Human resources for research and innovation|STI human resources strategies,
TH50,HP_RS,Higher Education researchers in FTE,MSTI_PUB/HP_RS./all,COU,Human resources for research and innovation|STI human resources strategies,
TH50,HP_TT,Higher Education Total R&D personnel (FTE),MSTI_PUB/HP_TT./all,COU,Human resources for research and innovation|STI human resources strategies,
TH50,BP_TT,Business Enterprise Total R&D personnel (FTE),MSTI_PUB/BP_TT./all,COU,Human resources for research and innovation|STI human resources strategies,
TH50,GP_TT,Government Total R&D personnel (FTE),MSTI_PUB/GP_TT./all,COU,Human resources for research and innovation|STI human resources strategies,
PI015,RDTAX_XBE,"Indirect government support through R&D tax incentives, % of BERD",RDTAX/.BERD_PCT.RDTAX/all,COU,Indirect financial support|Tax or social contributions relief for firms investing in R&D and innovation,
PI015,RDTAX_XGDP,"Indirect government support through R&D tax incentives, % of GDP",RDTAX/.GDP_PCT.RDTAX/all,COU,Indirect financial support|Tax or social contributions relief for firms investing in R&D and innovation,
PI015,RDTAX_NC,"Indirect government support through R&D tax incentives, million NC",RDTAX/.NCM.RDTAX/all,COU,Indirect financial support|Tax or social contributions relief for firms investing in R&D and innovation,
TH38,VC_XGDP,"Venture capital, % of GDP",VC_INVEST/..VC_T.SH_GDP/all,LOCATION,Innovation in firms and innovative entrepreneurship|Access to finance for innovation,
TH38,VC_USD,"Venture capital, millions USD",VC_INVEST/..VC_T.USD_V/all,LOCATION,Innovation in firms and innovative entrepreneurship|Access to finance for innovation,
TH38,VCSEED_XGDP,"Venture capital, seed stage, % of GDP",VC_INVEST/..SEED.SH_GDP/all,LOCATION,Innovation in firms and innovative entrepreneurship|Access to finance for innovation,
TH38,VCSTART_XGDP,"Venture capital, start-up and other early stage, % of GDP",VC_INVEST/..START.SH_GDP/all,LOCATION,Innovation in firms and innovative entrepreneurship|Access to finance for innovation,
TH38,VCLATE_XGDP,"Venture capital, later stage, % of GDP",VC_INVEST/..LATER.SH_GDP/all,LOCATION,Innovation in firms and innovative entrepreneurship|Access to finance for innovation,
TH30,B_XGDP,BERD as a percentage of GDP,MSTI_PUB/B_XGDP./all,COU,Innovation in firms and innovative entrepreneurship|Business innovation policy strategies,
TH30,B_PPP,"Business Enterprise Expenditure on R&D (BERD) in current USD PPP, million",MSTI_PUB/B_PPP./all,COU,Innovation in firms and innovative entrepreneurship|Business innovation policy strategies,
TH30,B_NC,"BERD in national currency, million",MSTI_PUB/B_NC./all,COU,Innovation in firms and innovative entrepreneurship|Business innovation policy strategies,
TH30,B_PPPCT,"BERD in constant USD PPP, million",MSTI_PUB/B_PPPCT./all,COU,Innovation in firms and innovative entrepreneurship|Business innovation policy strategies,
TH30,B_GRO,"BERD, compound annual real growth rate",MSTI_PUB/B_GRO./all,COU,Innovation in firms and innovative entrepreneurship|Business innovation policy strategies,
TH30,B_XVA,BERD as a percentage of value added in industry,MSTI_PUB/B_XVA./all,COU,Innovation in firms and innovative entrepreneurship|Business innovation policy strategies,
TH30,G_XEB,BERD as a percentage of total GERD,MSTI_PUB/G_XEB./all,COU,Innovation in firms and innovative entrepreneurship|Business innovation policy strategies,
TH30,G_FBXGDP,GERD financed by the business enterprise sector as a percentage of GDP,MSTI_PUB/G_FBXGDP./all,COU,Innovation in firms and innovative entrepreneurship|Business innovation policy strategies,
TH30,G_FBPPP,"GERD financed by the business enterprise sector in current USD PPP, million",GERD_SOF/._T.BES.DC6/all,COUNTRY,Innovation in firms and innovative entrepreneurship|Business innovation policy strategies,
TH30,G_FBCT,"GERD financed by the business enterprise sector in constant USD PPP, million",GERD_SOF/._T.BES.DF6/all,COUNTRY,Innovation in firms and innovative entrepreneurship|Business innovation policy strategies,
TH30,G_FB,"GERD financed by the business enterprise sector in national currency, million ",GERD_SOF/._T.BES.MIO_NAC/all,COUNTRY,Innovation in firms and innovative entrepreneurship|Business innovation policy strategies,
TH30,BP_RS,Business Enterprise researchers in FTE,MSTI_PUB/BP_RS./all,COU,Innovation in firms and innovative entrepreneurship|Business innovation policy strategies,
TH30,BP_TT,Business Enterprise Total R&D personnel (FTE),MSTI_PUB/BP_TT./all,COU,Innovation in firms and innovative entrepreneurship|Business innovation policy strategies,
TH30,HIGWTH_XB10,"High growth enterprises (turnover definition), % of enterprises with 10+ employees",SDBS_BDI_ISIC4/.HGT_R.05_82.10PLUS/all,LOCATION,Innovation in firms and innovative entrepreneurship|Business innovation policy strategies,
TH30,HIGWTHE_XB10,"High growth enterprises (employment definition), % of enterprises with 10+ employees",SDBS_BDI_ISIC4/.HGE_R.05_82.10PLUS/all,LOCATION,Innovation in firms and innovative entrepreneurship|Business innovation policy strategies,
TH30,GZLT_XB10,"Gazelles (turnover definition), % of enterprises with 10+ employees",SDBS_BDI_ISIC4/.GZT_SH.05_82.10PLUS/all,LOCATION,Innovation in firms and innovative entrepreneurship|Business innovation policy strategies,
TH30,GZLE_XB10,"Gazelles (employment definition), % of enterprises with 10+ employees",SDBS_BDI_ISIC4/.GZE_SH.05_82.10PLUS/all,LOCATION,Innovation in firms and innovative entrepreneurship|Business innovation policy strategies,
TH31,B_XFG,BERD financed by government as a percentage of total BERD,MSTI_PUB/B_XFG./all,COU,Innovation in firms and innovative entrepreneurship|Financial support to business R&D and innovation,
TH31,B_FB,"BERD financed by the business enterprise sector in national currency, million ",GERD_SOF/.BES.GOV.MIO_NAC/all,COUNTRY,Innovation in firms and innovative entrepreneurship|Financial support to business R&D and innovation,
TH31,B_FBPPP,"BERD financed by the business enterprise sector in current USD PPP, million",GERD_SOF/.BES.GOV.DC6/all,COUNTRY,Innovation in firms and innovative entrepreneurship|Financial support to business R&D and innovation,
TH31,B_FBCT,"BERD financed by the business enterprise sector in constant USD PPP, million",GERD_SOF/.BES.GOV.DF6/all,COUNTRY,Innovation in firms and innovative entrepreneurship|Financial support to business R&D and innovation,
TH31,RDTAX_XGDP,"Indirect government support through R&D tax incentives, % of GDP",RDTAX/.GDP_PCT.RDTAX/all,COU,Innovation in firms and innovative entrepreneurship|Financial support to business R&D and innovation,
TH31,RDTAX_NC,"Indirect government support through R&D tax incentives, national currency",RDTAX/.NCM.RDTAX/all,COU,Innovation in firms and innovative entrepreneurship|Financial support to business R&D and innovation,
TH36,FDIOF_XGDP,"Foreign Direct Investment (FDI) outward flows, % of GDP",FDI_AGGR_SUMM/.PER_GDP.DI.T_FA_F/all,COU,Innovation in firms and innovative entrepreneurship|Foreign direct investment,
TH36,FDIOF_USD,"Foreign Direct Investment (FDI) outward flows, million USD",FDI_FLOW_INDUSTRY/OUT.9999.USD./all,COU,Innovation in firms and innovative entrepreneurship|Foreign direct investment,
TH36,FDIOF_NC,"Foreign Direct Investment (FDI) outward flows, million NC",FDI_FLOW_INDUSTRY/OUT.9999.SUB./all,COU,Innovation in firms and innovative entrepreneurship|Foreign direct investment,
TH36,FDIIF_XGDP,"Foreign Direct Investment (FDI) inward flows, % of GDP",FDI_AGGR_SUMM/.PER_GDP.DO.T_FA_F/all,COU,Innovation in firms and innovative entrepreneurship|Foreign direct investment,
TH36,FDIIF_USD,"Foreign Direct Investment (FDI) inward flows, million USD",FDI_FLOW_INDUSTRY/IN.9999.USD./all,COU,Innovation in firms and innovative entrepreneurship|Foreign direct investment,
TH36,FDIIF_NC,"Foreign Direct Investment (FDI) inward flows, million NC",FDI_FLOW_INDUSTRY/IN.9999.SUB./all,COU,Innovation in firms and innovative entrepreneurship|Foreign direct investment,
TH36,B_FAPPP,"BERD financed by the rest of the world in current USD PPP, million",GERD_SOF/.BES.ROW.DC6/all,COUNTRY,Innovation in firms and innovative entrepreneurship|Foreign direct investment,
TH36,B_FA,"BERD financed by the rest of the world in national currency, million ",GERD_SOF/.BES.ROW.MIO_NAC/all,COUNTRY,Innovation in firms and innovative entrepreneurship|Foreign direct investment,
TH36,B_FACT,"BERD financed by the rest of the world in constant USD PPP, million",GERD_SOF/.BES.ROW.DF6/all,COUNTRY,Innovation in firms and innovative entrepreneurship|Foreign direct investment,
TH35,ITSR_SMEP_I,"Implied tax subsidy rates on RD expenditures, SME, profitable scenario",RDSUB/.SME.LOSS-MAKING/all,COU,Innovation in firms and innovative entrepreneurship|Targeted support to SMEs,
TH35,ITSR_SMELM_I,"Implied tax subsidy rates on RD expenditures, SME, loss-making scenario",RDSUB/.SME.PROFITABLE/all,COU,Innovation in firms and innovative entrepreneurship|Targeted support to SMEs,
TH37,STAUP_XB,Share of start-ups (up to 2 years old),SDBS_BDI_ISIC4/.START_R_EBD.05_82_LESS_642.TOTAL/all,LOCATION,Innovation in firms and innovative entrepreneurship|Targeted support to young innovative enterprises,
TH37,SUR1_XB,1-year survival rate of employer enterprises,SDBS_BDI_ISIC4/.YS1_R_EMPL.05_82.TOTAL/all,LOCATION,Innovation in firms and innovative entrepreneurship|Targeted support to young innovative enterprises,
TH37,SUR2_XB,2-year survival rate of employer enterprises,SDBS_BDI_ISIC4/.YS2_R_EMPL.05_82.TOTAL/all,LOCATION,Innovation in firms and innovative entrepreneurship|Targeted support to young innovative enterprises,
TH37,SUR3_XB,3-year survival rate of employer enterprises,SDBS_BDI_ISIC4/.YS3_R_EMPL.05_82.TOTAL/all,LOCATION,Innovation in firms and innovative entrepreneurship|Targeted support to young innovative enterprises,
TH37,SUR4_XB,4-year survival rate of employer enterprises,SDBS_BDI_ISIC4/.YS4_R_EMPL.05_82.TOTAL/all,LOCATION,Innovation in firms and innovative entrepreneurship|Targeted support to young innovative enterprises,
TH37,SUR5_XB,5-year survival rate of employer enterprises,SDBS_BDI_ISIC4/.YS5_R_EMPL.05_82.TOTAL/all,LOCATION,Innovation in firms and innovative entrepreneurship|Targeted support to young innovative enterprises,
TH19,G_CCPPP,"R&D total current costs in current USD PPP, million",GERD_TOE/._T.CUR.DC6/all,COUNTRY,Public research system|Competitive research funding,
TH19,G_CCPPPCT,"R&D total current costs in constant USD PPP, million",GERD_TOE/._T.CUR.DF6/all,COUNTRY,Public research system|Competitive research funding,
TH19,G_CC,"R&D total current costs in national currency, million ",GERD_TOE/._T.CUR.MIO_NAC/all,COUNTRY,Public research system|Competitive research funding,
TH25,GV_FAPPP,"GOVERD financed by the ROW in national currency, million ",GERD_SOF/.GOV.ROW.MIO_NAC/all,COUNTRY,Public research system|Internationalisation in public research,
TH25,GV_FANC,"GOVERD financed by the ROW in current USD PPP, million",GERD_SOF/.GOV.ROW.DC6/all,COUNTRY,Public research system|Internationalisation in public research,
TH25,GV_FACT,"GOVERD financed by the ROW in constant USD PPP, million",GERD_SOF/.GOV.ROW.DF6/all,COUNTRY,Public research system|Internationalisation in public research,
TH25,H_FA,"HERD financed by the Higher Education and PNP sectors in national currency, million ",GERD_SOF/.HES.ROW.MIO_NAC/all,COUNTRY,Public research system|Internationalisation in public research,
TH25,H_FAPPP,"HERD financed by the Higher Education and PNP sectors in current USD PPP, million",GERD_SOF/.HES.ROW.DC6/all,COUNTRY,Public research system|Internationalisation in public research,
TH25,H_FACT,"HERD financed by the Higher Education and PNP sectors in constant USD PPP, million",GERD_SOF/.HES.ROW.DF6/all,COUNTRY,Public research system|Internationalisation in public research,
TH25,FORSPHD_XPHDENR,"International students at doctoral level (ISCED2011 level 8), % total enrolment at doctorate level",EAG_ENRL_MOBILES_FIELDS/.ENRL_SHARE_MOBILE-FIELDS._T.ISCED11_8.MOB._T/all,COUNTRY,Public research system|Internationalisation in public research,
TH20,G_CCPPP,"R&D total current costs in current USD PPP, million",GERD_TOE/._T.CUR.DC6/all,COUNTRY,Public research system|Non-competitive research funding,
TH20,G_CCPPPCT,"R&D total current costs in constant USD PPP, million",GERD_TOE/._T.CUR.DF6/all,COUNTRY,Public research system|Non-competitive research funding,
TH20,G_CC,"R&D total current costs in national currency, million ",GERD_TOE/._T.CUR.MIO_NAC/all,COUNTRY,Public research system|Non-competitive research funding,
TH18,H_XGDP,HERD as a percentage of GDP,MSTI_PUB/H_XGDP./all,COU,Public research system|Public research strategies,
TH18,H_PPP,"HERD in current USD PPP, million",MSTI_PUB/H_PPP./all,COU,Public research system|Public research strategies,
TH18,H_PPPCT,"HERD in constant USD PPP, million",MSTI_PUB/H_PPPCT./all,COU,Public research system|Public research strategies,
TH18,H_NC,"HERD in national currency, million ",MSTI_PUB/H_NC./all,COU,Public research system|Public research strategies,
TH18,GV_XGDP,GOVERD as a percentage of GDP,MSTI_PUB/GV_XGDP./all,COU,Public research system|Public research strategies,
TH18,GV_PPP,"GOVERD in current USD PPP, million",MSTI_PUB/GV_PPP./all,COU,Public research system|Public research strategies,
TH18,GV_PPPCT,"GOVERD in constant USD PPP, million",MSTI_PUB/GV_PPPCT./all,COU,Public research system|Public research strategies,
